startdate,hectares,cause,lat,lon,province
2023-08-14,0.01,Human,51.0748,-115.08,Alberta
2023-04-24,0.7,Human,51.139,-114.907,Alberta
2023-05-01,0.7,Human,51.222,-114.85,Alberta
2023-05-05,0.8,Human,51.228,-114.857,Alberta
2023-05-06,0.7,Human,51.592,-114.758,Alberta
2023-05-16,0.1,Human,51.259,-114.928,Alberta
2023-05-22,0.1,Natural,51.051,-114.703,Alberta
2023-07-09,0.1,Natural,49.481,-114.453,Alberta
2023-07-17,0.2,Natural,49.534,-114.497,Alberta
2023-07-26,0.5,Natural,51.234,-114.871,Alberta
2023-07-31,0.2,Natural,50.844,-114.573,Alberta
2023-07-31,0.2,Human,51.154,-114.892,Alberta
2023-08-08,0.1,Human,51.164,-114.786,Alberta
2023-08-20,0.2,Natural,50.865,-114.809,Alberta
2023-09-27,0.1,Human,50.905,-114.659,Alberta
2023-09-28,0.1,Human,51.129,-114.864,Alberta
2023-10-08,0.3,Human,51.305,-114.984,Alberta
2023-12-05,0.4,Human,51.166,-114.802,Alberta
2023-01-11,0.1,Human,53.216,-115.755,Alberta
2023-02-13,1.3,Human,53.207,-116.817,Alberta
2023-02-13,0.3,Human,53.475,-115.542,Alberta
2023-04-15,0.1,Human,53.169,-115.457,Alberta
2023-04-17,0.5,Human,53.655,-115.862,Alberta
2023-04-17,0.4,Human,53.652,-116.598,Alberta
2023-04-18,1.0,Human,53.462,-117.446,Alberta
2023-04-22,0.3,Human,53.585,-115.034,Alberta
2023-04-27,0.8,Human,53.157,-116.952,Alberta
2023-04-29,46.6,Unknown,53.683,-115.948,Alberta
2023-04-30,0.3,Human,53.164,-116.985,Alberta
2023-04-30,0.1,Human,53.164,-116.985,Alberta
2023-04-30,8.7,Human,53.551,-116.803,Alberta
2023-05-02,0.7,Human,53.531,-116.821,Alberta
2023-05-02,1.8,Human,53.479,-115.223,Alberta
2023-05-03,2.5,Human,53.743,-115.856,Alberta
2023-05-04,0.1,Human,53.714,-115.817,Alberta
2023-05-04,0.2,Natural,53.169,-115.648,Alberta
2023-05-04,0.2,Human,53.376,-116.843,Alberta
2023-05-04,201913.0,Natural,53.145,-115.687,Alberta
2023-05-04,0.1,Human,53.598,-116.358,Alberta
2023-05-05,19672.0,Unknown,53.837,-115.783,Alberta
2023-05-06,578.0,Natural,53.91,-117.559,Alberta
2023-05-06,1.2,Unknown,53.692,-116.081,Alberta
2023-05-06,165.0,Human,53.471,-115.871,Alberta
2023-05-06,12073.4,Natural,53.936,-117.776,Alberta
2023-05-06,2.5,Natural,53.931,-117.781,Alberta
2023-05-06,4.0,Natural,53.93,-117.792,Alberta
2023-05-06,4.0,Natural,53.922,-117.655,Alberta
2023-05-18,0.1,Human,53.249,-115.504,Alberta
2023-05-21,1.9,Natural,53.625,-116.352,Alberta
2023-05-27,1.1,Natural,53.407,-115.484,Alberta
2023-05-29,0.5,Natural,53.512,-115.489,Alberta
2023-05-30,0.2,Natural,53.503,-116.797,Alberta
2023-06-03,0.9,Natural,53.825,-116.867,Alberta
2023-06-05,0.1,Natural,53.137,-116.474,Alberta
2023-06-08,0.2,Natural,52.85,-116.925,Alberta
2023-06-08,0.1,Natural,52.837,-116.905,Alberta
2023-06-09,0.3,Natural,53.024,-117.176,Alberta
2023-06-09,0.5,Natural,53.544,-116.552,Alberta
2023-06-10,0.1,Natural,52.877,-116.891,Alberta
2023-06-10,1.0,Human,53.805,-116.723,Alberta
2023-06-18,0.1,Human,53.376,-117.732,Alberta
2023-07-21,0.2,Natural,53.108,-116.61,Alberta
2023-07-24,71.6,Natural,52.998,-116.422,Alberta
2023-10-07,0.2,Human,53.577,-115.282,Alberta
2023-10-17,0.1,Human,53.608,-115.866,Alberta
2023-10-18,0.1,Human,53.563,-116.606,Alberta
2023-10-21,0.1,Human,53.989,-119.135,Alberta
2023-11-06,0.1,Human,53.628,-116.028,Alberta
2023-12-13,0.5,Unknown,53.994,-118.477,Alberta
2023-01-25,0.9,Human,54.205,-118.971,Alberta
2023-04-16,0.4,Human,54.783,-117.26,Alberta
2023-04-20,0.1,Human,55.727,-119.393,Alberta
2023-04-22,0.1,Human,55.079,-117.487,Alberta
2023-04-22,0.2,Human,55.053,-117.473,Alberta
2023-04-25,53.2,Human,55.096,-116.934,Alberta
2023-04-26,0.1,Human,55.479,-119.053,Alberta
2023-04-26,0.5,Human,54.897,-117.365,Alberta
2023-04-28,1.1,Human,55.132,-117.781,Alberta
2023-04-28,0.5,Human,55.503,-119.496,Alberta
2023-04-30,0.8,Human,54.777,-118.701,Alberta
2023-04-30,3.1,Human,54.506,-117.671,Alberta
2023-04-30,0.1,Human,55.517,-119.456,Alberta
2023-04-30,15.2,Human,55.866,-119.287,Alberta
2023-05-01,7.2,Human,55.653,-119.005,Alberta
2023-05-04,3.0,Human,55.791,-119.192,Alberta
2023-05-05,5478.5,Unknown,55.067,-117.391,Alberta
2023-05-05,49327.7,Unknown,56.282,-119.162,Alberta
2023-05-05,18884.0,Natural,54.736,-119.033,Alberta
2023-05-05,21.2,Human,55.074,-117.883,Alberta
2023-05-06,15.4,Human,54.84,-118.956,Alberta
2023-05-06,3851.0,Unknown,55.157,-117.331,Alberta
2023-05-12,0.4,Human,55.462,-118.841,Alberta
2023-05-13,54988.4,Unknown,54.52,-117.357,Alberta
2023-05-14,1.5,Human,55.856,-119.172,Alberta
2023-05-22,0.3,Natural,55.351,-117.119,Alberta
2023-06-01,1.0,Human,55.057,-118.73,Alberta
2023-06-04,872.0,Unknown,55.586,-119.403,Alberta
2023-06-06,7148.0,Unknown,55.655,-119.485,Alberta
2023-06-07,95.3,Natural,54.533,-119.276,Alberta
2023-06-08,1.2,Natural,54.507,-117.193,Alberta
2023-06-12,22.7,Natural,55.909,-119.335,Alberta
2023-06-12,0.1,Human,55.8,-119.345,Alberta
2023-07-04,0.5,Natural,55.715,-119.035,Alberta
2023-07-11,50.3,Natural,55.073,-117.009,Alberta
2023-07-30,0.1,Natural,54.298,-118.806,Alberta
2023-09-09,0.1,Human,55.931,-117.876,Alberta
2023-09-17,12.2,Human,55.638,-119.84,Alberta
2023-09-25,0.4,Natural,54.364,-119.616,Alberta
2023-10-03,6.1,Human,55.931,-117.766,Alberta
2023-10-06,0.1,Human,55.519,-119.454,Alberta
2023-10-06,0.2,Human,55.067,-116.917,Alberta
2023-10-09,0.1,Human,55.554,-119.374,Alberta
2023-10-10,0.2,Human,55.501,-118.565,Alberta
2023-10-16,0.2,Unknown,55.834,-119.23,Alberta
2023-10-18,0.1,Human,54.87,-119.102,Alberta
2023-11-11,0.2,Human,55.193,-117.368,Alberta
2023-11-15,0.5,Human,55.176,-118.105,Alberta
2023-05-20,15.0,Natural,55.234,-118.034,Alberta
2023-01-17,0.2,Human,57.818,-116.655,Alberta
2023-03-30,0.1,Human,58.522,-115.167,Alberta
2023-04-10,0.2,Human,57.88,-115.442,Alberta
2023-04-17,0.1,Human,58.466,-116.046,Alberta
2023-04-17,0.1,Human,58.232,-116.204,Alberta
2023-04-17,0.2,Human,58.386,-116.178,Alberta
2023-04-17,1.6,Human,58.464,-114.481,Alberta
2023-04-19,0.3,Human,58.72,-118.743,Alberta
2023-04-20,0.2,Human,58.716,-118.761,Alberta
2023-04-20,0.5,Human,58.709,-118.683,Alberta
2023-04-22,0.2,Human,58.267,-116.286,Alberta
2023-04-22,0.1,Human,58.245,-116.268,Alberta
2023-04-23,0.1,Human,58.247,-116.376,Alberta
2023-04-23,0.4,Human,58.423,-115.983,Alberta
2023-04-24,0.9,Human,58.712,-118.728,Alberta
2023-04-27,0.1,Human,58.313,-116.249,Alberta
2023-04-29,7.9,Human,58.523,-116.427,Alberta
2023-04-29,0.5,Human,58.457,-116.402,Alberta
2023-04-29,0.5,Human,58.17,-116.23,Alberta
2023-04-30,0.5,Human,58.467,-114.541,Alberta
2023-04-30,1.8,Human,58.169,-116.602,Alberta
2023-05-01,0.1,Human,58.713,-118.667,Alberta
2023-05-01,1.0,Human,58.31,-116.178,Alberta
2023-05-02,0.8,Human,58.714,-118.745,Alberta
2023-05-02,96582.0,Unknown,58.468,-114.484,Alberta
2023-05-03,0.3,Human,58.465,-114.543,Alberta
2023-05-03,15.0,Human,58.468,-114.481,Alberta
2023-05-03,1.4,Human,58.237,-115.8,Alberta
2023-05-03,203022.0,Unknown,58.491,-119.403,Alberta
2023-05-04,0.9,Human,58.709,-118.671,Alberta
2023-05-04,22.5,Human,58.708,-118.67,Alberta
2023-05-05,1.2,Human,58.718,-118.744,Alberta
2023-05-06,181.8,Human,58.42,-116.123,Alberta
2023-05-07,0.9,Human,58.561,-117.681,Alberta
2023-05-07,0.5,Human,58.517,-116.357,Alberta
2023-05-09,0.1,Human,58.547,-117.114,Alberta
2023-05-10,0.1,Human,58.72,-118.745,Alberta
2023-05-11,0.1,Human,58.178,-116.209,Alberta
2023-05-16,0.2,Human,58.506,-117.112,Alberta
2023-05-30,0.7,Human,58.337,-115.899,Alberta
2023-06-04,33.4,Natural,59.841,-118.705,Alberta
2023-06-05,0.3,Natural,58.131,-118.373,Alberta
2023-06-05,234061.0,Natural,58.167,-118.42,Alberta
2023-06-07,0.4,Natural,58.11,-119.783,Alberta
2023-06-07,0.1,Natural,58.144,-118.977,Alberta
2023-06-09,6175.0,Natural,59.284,-119.067,Alberta
2023-06-10,1425.2,Natural,57.553,-114.925,Alberta
2023-06-11,11.3,Natural,57.411,-115.221,Alberta
2023-06-19,0.1,Natural,58.124,-117.679,Alberta
2023-06-21,0.1,Natural,58.35,-115.144,Alberta
2023-06-24,30123.0,Natural,57.693,-116.02,Alberta
2023-06-24,0.1,Human,58.102,-117.276,Alberta
2023-06-24,0.1,Human,58.399,-116.046,Alberta
2023-06-24,13.0,Natural,58.675,-114.321,Alberta
2023-06-24,1.2,Natural,57.394,-115.1,Alberta
2023-06-24,18.9,Natural,57.437,-115.14,Alberta
2023-06-25,42579.0,Natural,59.86,-115.804,Alberta
2023-06-27,0.1,Natural,58.413,-118.271,Alberta
2023-06-30,13700.0,Natural,57.799,-114.775,Alberta
2023-06-30,5.0,Natural,57.78,-114.715,Alberta
2023-06-30,12508.0,Natural,58.158,-114.183,Alberta
2023-06-30,3.3,Natural,59.399,-117.207,Alberta
2023-07-01,0.1,Natural,58.666,-117.479,Alberta
2023-07-01,0.9,Natural,58.644,-115.622,Alberta
2023-07-01,1.3,Natural,57.504,-116.247,Alberta
2023-07-01,0.1,Natural,58.609,-115.872,Alberta
2023-07-01,0.1,Natural,58.693,-114.985,Alberta
2023-07-01,9.2,Natural,58.873,-117.992,Alberta
2023-07-01,8.5,Natural,59.011,-117.266,Alberta
2023-07-03,1166.5,Natural,58.721,-115.859,Alberta
2023-07-03,0.1,Natural,58.636,-115.934,Alberta
2023-07-03,14250.0,Natural,59.955,-116.247,Alberta
2023-07-04,0.1,Natural,58.7,-116.156,Alberta
2023-07-04,0.5,Natural,58.76,-115.945,Alberta
2023-07-05,3.6,Natural,58.844,-114.344,Alberta
2023-07-05,45061.0,Natural,59.453,-114.159,Alberta
2023-07-05,1.8,Natural,59.419,-114.353,Alberta
2023-07-05,113.2,Natural,59.372,-114.426,Alberta
2023-07-05,57412.0,Natural,59.225,-114.404,Alberta
2023-07-05,0.1,Human,58.694,-117.386,Alberta
2023-07-05,1.7,Natural,58.89,-117.008,Alberta
2023-07-06,1.4,Natural,58.695,-116.148,Alberta
2023-07-06,48.3,Natural,58.558,-116.662,Alberta
2023-07-06,0.1,Natural,58.91,-117.643,Alberta
2023-07-07,3173.2,Natural,59.054,-114.359,Alberta
2023-07-08,0.1,Human,59.6,-117.395,Alberta
2023-07-08,20.1,Human,58.049,-115.61,Alberta
2023-07-09,346.2,Natural,59.047,-117.081,Alberta
2023-07-10,0.1,Natural,59.063,-117.175,Alberta
2023-07-10,0.1,Natural,59.193,-119.027,Alberta
2023-07-11,2.0,Natural,58.992,-119.227,Alberta
2023-07-13,0.9,Human,58.912,-117.644,Alberta
2023-07-13,5555.0,Natural,59.466,-119.951,Alberta
2023-07-13,4.0,Natural,59.435,-119.933,Alberta
2023-07-14,3.5,Natural,58.1,-114.992,Alberta
2023-07-16,54.8,Natural,59.76,-119.913,Alberta
2023-07-16,15.4,Human,58.992,-119.227,Alberta
2023-07-16,380.0,Natural,57.644,-114.128,Alberta
2023-07-23,0.9,Natural,58.338,-119.843,Alberta
2023-07-23,0.2,Natural,58.348,-118.305,Alberta
2023-07-23,0.7,Natural,58.12,-119.693,Alberta
2023-07-23,0.1,Natural,58.135,-119.859,Alberta
2023-07-23,0.1,Natural,58.522,-117.433,Alberta
2023-07-23,14.2,Natural,57.849,-116.059,Alberta
2023-07-24,0.3,Natural,58.136,-118.988,Alberta
2023-07-24,0.8,Natural,58.315,-115.282,Alberta
2023-07-25,0.3,Natural,58.941,-116.932,Alberta
2023-08-22,0.5,Natural,58.249,-119.201,Alberta
2023-09-02,0.1,Human,58.515,-117.027,Alberta
2023-09-09,0.1,Human,58.364,-116.206,Alberta
2023-09-13,0.2,Natural,58.338,-114.989,Alberta
2023-09-15,0.9,Human,58.487,-115.631,Alberta
2023-09-19,54.1,Natural,59.649,-119.703,Alberta
2023-09-19,12060.0,Natural,59.685,-119.684,Alberta
2023-09-19,5.0,Natural,59.73,-119.718,Alberta
2023-09-19,200.0,Natural,59.731,-119.751,Alberta
2023-09-29,2.5,Natural,58.704,-113.917,Alberta
2023-10-10,0.5,Human,58.464,-114.416,Alberta
2023-10-10,0.5,Human,58.454,-114.43,Alberta
2023-10-10,0.3,Human,58.478,-114.357,Alberta
2023-10-10,0.4,Human,58.466,-114.41,Alberta
2023-10-10,0.4,Human,58.458,-114.41,Alberta
2023-10-10,0.4,Human,58.455,-114.406,Alberta
2023-10-14,0.1,Human,58.05,-116.345,Alberta
2023-11-10,0.5,Human,59.125,-118.322,Alberta
2023-12-18,100.0,Unknown,57.655,-115.481,Alberta
2023-12-18,60.0,Unknown,57.616,-115.632,Alberta
2023-12-18,60.0,Unknown,57.553,-115.554,Alberta
2023-05-03,2553.1,Human,54.8075,-113.08,Alberta
2023-04-12,0.1,Human,55.932,-110.725,Alberta
2023-04-11,0.2,Human,55.914,-110.74,Alberta
2023-04-11,0.1,Human,55.957,-110.709,Alberta
2023-04-11,0.1,Human,55.957,-110.709,Alberta
2023-04-14,0.1,Human,55.935,-110.722,Alberta
2023-04-14,0.2,Human,55.928,-110.723,Alberta
2023-04-15,0.2,Human,55.925,-110.718,Alberta
2023-04-15,14.0,Human,55.944,-110.713,Alberta
2023-04-15,5.2,Human,55.93,-110.726,Alberta
2023-04-16,0.9,Human,55.96,-110.708,Alberta
2023-04-16,0.1,Human,55.936,-110.72,Alberta
2023-04-16,0.1,Human,55.936,-110.726,Alberta
2023-04-16,0.7,Human,55.921,-110.739,Alberta
2023-04-16,3.0,Human,55.914,-110.74,Alberta
2023-04-16,0.2,Human,55.906,-110.746,Alberta
2023-04-17,1.2,Human,55.926,-110.722,Alberta
2023-04-17,6.9,Human,54.687,-111.958,Alberta
2023-04-17,0.6,Human,55.186,-112.441,Alberta
2023-04-17,9.0,Human,54.865,-112.698,Alberta
2023-04-18,0.1,Human,54.501,-111.654,Alberta
2023-04-21,0.1,Human,55.922,-110.735,Alberta
2023-04-21,0.1,Human,55.923,-110.733,Alberta
2023-04-21,0.1,Human,55.928,-110.717,Alberta
2023-04-22,0.3,Human,55.927,-110.724,Alberta
2023-04-22,0.1,Human,55.93,-110.725,Alberta
2023-04-22,10.0,Human,55.934,-110.736,Alberta
2023-04-22,0.5,Human,55.929,-110.723,Alberta
2023-04-22,1.5,Human,54.656,-111.893,Alberta
2023-04-22,0.2,Human,55.918,-110.735,Alberta
2023-04-22,3.3,Human,55.916,-110.736,Alberta
2023-04-22,0.5,Human,55.923,-110.753,Alberta
2023-04-22,0.2,Human,55.93,-110.728,Alberta
2023-04-23,56.7,Human,55.905,-110.766,Alberta
2023-04-23,1.0,Human,55.936,-110.724,Alberta
2023-04-23,150.0,Human,55.944,-110.736,Alberta
2023-04-24,0.1,Human,55.935,-110.723,Alberta
2023-04-24,0.1,Human,55.936,-110.722,Alberta
2023-04-24,0.2,Human,54.617,-111.679,Alberta
2023-04-24,0.8,Human,55.955,-110.731,Alberta
2023-04-26,0.1,Human,54.67,-111.908,Alberta
2023-04-26,0.2,Human,54.709,-111.877,Alberta
2023-04-26,0.5,Human,55.929,-110.667,Alberta
2023-04-26,0.2,Human,55.928,-110.724,Alberta
2023-04-26,0.1,Human,55.925,-110.726,Alberta
2023-04-27,0.1,Human,55.916,-110.736,Alberta
2023-04-27,0.1,Human,55.928,-110.773,Alberta
2023-04-28,0.1,Human,55.919,-110.738,Alberta
2023-04-28,0.1,Human,55.916,-110.739,Alberta
2023-04-29,0.2,Human,55.928,-110.723,Alberta
2023-04-29,0.5,Human,55.942,-110.716,Alberta
2023-04-29,0.7,Human,54.997,-111.729,Alberta
2023-04-30,0.3,Human,54.515,-110.842,Alberta
2023-04-30,1.0,Human,55.945,-110.712,Alberta
2023-05-01,0.1,Human,55.269,-113.232,Alberta
2023-05-01,1.0,Human,55.929,-110.721,Alberta
2023-05-02,0.5,Human,54.677,-111.895,Alberta
2023-05-02,0.5,Human,55.917,-110.734,Alberta
2023-05-02,0.2,Human,55.184,-112.388,Alberta
2023-05-04,153.0,Human,54.622,-111.829,Alberta
2023-05-04,0.2,Human,55.265,-113.229,Alberta
2023-05-04,0.3,Human,54.795,-111.812,Alberta
2023-05-04,0.2,Natural,54.827,-113.587,Alberta
2023-05-04,200.0,Human,54.5,-113.656,Alberta
2023-05-05,0.5,Human,55.928,-110.727,Alberta
2023-05-05,6.5,Human,55.061,-111.606,Alberta
2023-05-05,0.5,Human,55.931,-110.726,Alberta
2023-05-06,3.7,Human,54.615,-110.477,Alberta
2023-05-07,0.1,Human,55.399,-112.441,Alberta
2023-05-08,0.1,Human,55.199,-112.57,Alberta
2023-05-09,0.5,Human,55.927,-110.723,Alberta
2023-05-09,0.1,Human,55.928,-110.724,Alberta
2023-05-10,2.1,Natural,55.929,-112.435,Alberta
2023-05-10,0.3,Human,54.508,-110.477,Alberta
2023-05-12,0.2,Human,55.927,-110.717,Alberta
2023-05-12,4.7,Natural,55.198,-112.01,Alberta
2023-05-12,0.1,Human,55.119,-112.472,Alberta
2023-05-12,9.6,Natural,55.184,-111.992,Alberta
2023-05-14,0.2,Human,55.165,-114.044,Alberta
2023-05-15,0.1,Human,55.927,-110.727,Alberta
2023-05-16,6.7,Human,56.223,-110.948,Alberta
2023-05-17,0.1,Human,56.305,-110.956,Alberta
2023-05-17,1.3,Human,54.67,-111.886,Alberta
2023-05-19,0.1,Human,55.2,-112.571,Alberta
2023-05-19,0.2,Human,55.797,-110.862,Alberta
2023-05-21,0.8,Human,55.391,-111.119,Alberta
2023-05-22,0.1,Human,56.215,-110.875,Alberta
2023-05-22,0.5,Human,54.913,-111.938,Alberta
2023-05-27,0.5,Human,55.73,-110.98,Alberta
2023-05-28,0.8,Natural,55.023,-110.641,Alberta
2023-05-29,0.1,Human,55.103,-112.497,Alberta
2023-05-29,0.1,Human,55.894,-110.814,Alberta
2023-05-29,0.3,Human,55.933,-110.731,Alberta
2023-05-29,4800.0,Natural,55.628,-110.362,Alberta
2023-05-29,0.2,Natural,55.345,-111.254,Alberta
2023-05-30,0.2,Natural,55.646,-112.25,Alberta
2023-05-30,0.3,Natural,55.111,-113.189,Alberta
2023-05-30,0.1,Human,55.28,-113.233,Alberta
2023-06-01,0.1,Human,55.677,-111.108,Alberta
2023-06-01,0.1,Natural,54.856,-112.764,Alberta
2023-06-07,2317.0,Natural,55.935,-111.105,Alberta
2023-06-07,0.1,Natural,54.734,-114.05,Alberta
2023-06-14,0.1,Human,54.915,-111.939,Alberta
2023-06-29,0.3,Human,54.926,-112.12,Alberta
2023-06-30,6.6,Natural,54.957,-111.212,Alberta
2023-06-30,137.8,Natural,54.746,-110.116,Alberta
2023-07-01,1.4,Natural,56.121,-110.426,Alberta
2023-07-15,0.1,Human,56.066,-110.875,Alberta
2023-08-08,0.1,Human,54.763,-114.085,Alberta
2023-09-26,0.1,Human,55.918,-110.732,Alberta
2023-10-06,0.1,Human,54.896,-112.084,Alberta
2023-10-09,0.1,Human,55.258,-113.226,Alberta
2023-10-10,0.1,Human,55.264,-113.231,Alberta
2023-10-12,0.2,Human,54.999,-111.803,Alberta
2023-10-24,0.1,Human,54.681,-111.925,Alberta
2023-11-04,0.1,Human,55.972,-111.986,Alberta
2023-12-11,0.1,Human,54.819,-113.562,Alberta
2023-04-18,0.3,Human,56.926,-111.465,Alberta
2023-04-23,3.3,Human,56.63,-111.393,Alberta
2023-05-02,16.1,Human,56.437,-111.201,Alberta
2023-05-03,19.4,Human,56.937,-111.55,Alberta
2023-05-07,0.9,Human,59.982,-111.853,Alberta
2023-05-09,0.5,Natural,57.241,-112.033,Alberta
2023-05-15,0.3,Human,57.075,-111.589,Alberta
2023-05-16,0.3,Human,56.448,-111.295,Alberta
2023-05-18,0.2,Human,56.224,-111.698,Alberta
2023-05-23,0.1,Human,56.432,-111.31,Alberta
2023-05-28,14760.0,Natural,57.694,-113.296,Alberta
2023-05-28,1552.0,Natural,57.706,-113.125,Alberta
2023-05-28,59444.0,Natural,57.976,-113.215,Alberta
2023-05-28,28454.0,Natural,57.712,-110.647,Alberta
2023-05-28,105251.0,Natural,58.867,-111.146,Alberta
2023-05-28,1705.0,Natural,57.883,-111.054,Alberta
2023-06-01,4.4,Natural,57.085,-112.474,Alberta
2023-06-04,7.4,Natural,59.247,-110.953,Alberta
2023-06-04,3.0,Natural,59.919,-111.491,Alberta
2023-06-13,1.0,Natural,56.466,-112.102,Alberta
2023-06-24,38.0,Natural,57.724,-112.206,Alberta
2023-06-24,4.6,Natural,57.747,-112.137,Alberta
2023-06-29,0.3,Natural,59.797,-110.913,Alberta
2023-06-29,110.0,Natural,57.445,-113.353,Alberta
2023-06-29,569.0,Natural,57.46,-113.39,Alberta
2023-06-29,15200.0,Natural,57.422,-113.401,Alberta
2023-06-29,1200.0,Natural,57.408,-113.496,Alberta
2023-06-29,100.0,Natural,57.48,-113.258,Alberta
2023-06-30,130805.0,Natural,59.762,-111.149,Alberta
2023-06-30,5.9,Natural,57.067,-112.158,Alberta
2023-06-30,0.4,Natural,56.982,-110.973,Alberta
2023-07-03,3366.0,Natural,57.842,-113.263,Alberta
2023-07-06,20.0,Natural,59.914,-110.114,Alberta
2023-07-06,59.9,Natural,57.118,-112.978,Alberta
2023-07-21,0.9,Natural,59.781,-111.363,Alberta
2023-07-23,0.5,Natural,59.287,-111.354,Alberta
2023-07-24,0.8,Natural,57.678,-112.02,Alberta
2023-07-26,1653.9,Natural,59.287,-110.898,Alberta
2023-08-04,0.8,Natural,56.834,-112.327,Alberta
2023-10-15,0.1,Human,56.406,-111.406,Alberta
2023-05-02,2.5,Natural,56.158,-118.106,Alberta
2023-03-01,0.1,Human,56.096,-116.789,Alberta
2023-03-02,0.1,Human,56.694,-117.384,Alberta
2023-03-02,0.1,Human,56.934,-117.335,Alberta
2023-04-12,0.2,Human,56.876,-118.204,Alberta
2023-04-12,0.1,Human,57.556,-117.256,Alberta
2023-04-17,26.2,Human,56.475,-117.295,Alberta
2023-04-19,0.7,Human,56.355,-117.304,Alberta
2023-04-26,0.2,Human,56.259,-118.216,Alberta
2023-04-26,0.2,Human,56.349,-117.316,Alberta
2023-04-27,2.6,Human,56.448,-117.255,Alberta
2023-04-27,0.4,Human,56.457,-116.077,Alberta
2023-04-28,16.2,Human,56.563,-119.083,Alberta
2023-04-29,0.1,Human,56.41,-119.275,Alberta
2023-04-30,0.8,Human,56.72,-117.402,Alberta
2023-04-30,1.1,Human,56.436,-117.306,Alberta
2023-05-03,0.5,Human,56.428,-116.097,Alberta
2023-05-03,1.8,Human,56.259,-117.318,Alberta
2023-05-04,0.2,Human,56.52,-119.298,Alberta
2023-05-04,1.7,Human,56.415,-118.698,Alberta
2023-05-05,0.8,Human,56.477,-116.413,Alberta
2023-05-05,0.3,Human,56.379,-119.316,Alberta
2023-05-05,0.5,Human,56.477,-116.418,Alberta
2023-05-05,0.3,Human,56.492,-116.503,Alberta
2023-05-05,9.3,Human,56.253,-118.203,Alberta
2023-05-05,587.0,Human,56.545,-119.479,Alberta
2023-05-05,5.4,Human,56.538,-118.874,Alberta
2023-05-05,21.2,Human,56.534,-118.847,Alberta
2023-05-06,1.1,Human,56.274,-118.343,Alberta
2023-05-06,6534.0,Unknown,56.387,-116.809,Alberta
2023-05-09,3.0,Human,57.949,-117.497,Alberta
2023-05-12,0.5,Human,57.167,-117.235,Alberta
2023-05-14,4.2,Human,57.626,-117.442,Alberta
2023-05-19,1.1,Human,56.366,-119.48,Alberta
2023-05-29,3.2,Human,57.083,-118.13,Alberta
2023-06-04,0.4,Natural,57.523,-119.03,Alberta
2023-06-05,0.4,Natural,57.116,-119.538,Alberta
2023-06-06,0.3,Natural,57.463,-117.903,Alberta
2023-06-06,1.8,Human,56.422,-119.968,Alberta
2023-06-15,0.1,Human,56.447,-116.098,Alberta
2023-06-19,0.1,Human,56.567,-118.985,Alberta
2023-06-19,0.3,Human,56.471,-116.783,Alberta
2023-06-22,0.5,Human,56.436,-119.793,Alberta
2023-06-22,11.5,Natural,57.659,-118.829,Alberta
2023-06-24,0.2,Natural,57.165,-118.43,Alberta
2023-06-24,0.7,Natural,56.957,-118.597,Alberta
2023-06-24,5248.0,Natural,57.648,-117.891,Alberta
2023-06-24,0.1,Natural,57.58,-118.139,Alberta
2023-06-25,0.3,Natural,57.274,-117.019,Alberta
2023-06-27,0.2,Natural,58.039,-117.719,Alberta
2023-06-28,101.2,Human,56.453,-116.18,Alberta
2023-06-29,0.1,Natural,56.672,-119.165,Alberta
2023-06-29,3.3,Natural,57.708,-118.326,Alberta
2023-06-30,1.3,Human,56.429,-118.766,Alberta
2023-06-30,0.4,Natural,56.615,-119.629,Alberta
2023-06-30,8550.0,Natural,56.951,-119.776,Alberta
2023-07-01,0.1,Human,56.242,-118.397,Alberta
2023-07-01,0.5,Human,56.37,-116.93,Alberta
2023-07-06,49.4,Natural,57.022,-116.25,Alberta
2023-07-08,179.1,Natural,56.717,-118.503,Alberta
2023-07-09,27174.4,Natural,57.982,-119.973,Alberta
2023-07-10,1.6,Natural,56.891,-118.426,Alberta
2023-07-10,0.1,Natural,56.245,-116.303,Alberta
2023-07-13,0.1,Natural,56.715,-117.794,Alberta
2023-07-13,0.3,Natural,56.721,-117.794,Alberta
2023-07-17,96.4,Natural,57.026,-118.363,Alberta
2023-07-17,2.4,Natural,57.236,-116.51,Alberta
2023-07-17,16.7,Natural,57.71,-118.723,Alberta
2023-07-17,1.4,Natural,56.872,-116.655,Alberta
2023-07-18,0.8,Natural,56.448,-118.495,Alberta
2023-07-18,0.2,Natural,56.513,-120.0,Alberta
2023-07-19,2.2,Human,56.367,-117.076,Alberta
2023-07-21,0.7,Natural,58.0,-118.771,Alberta
2023-07-22,0.7,Natural,57.697,-117.771,Alberta
2023-07-22,2.3,Natural,56.394,-116.705,Alberta
2023-07-22,1.9,Human,56.268,-118.242,Alberta
2023-07-23,0.3,Natural,57.004,-117.071,Alberta
2023-07-23,1.2,Natural,56.834,-117.001,Alberta
2023-07-23,200.0,Natural,57.236,-116.359,Alberta
2023-07-23,15.8,Natural,57.252,-117.095,Alberta
2023-07-23,1.4,Natural,57.208,-116.9,Alberta
2023-07-23,0.6,Natural,56.821,-116.646,Alberta
2023-07-24,0.1,Natural,56.634,-118.54,Alberta
2023-07-24,17714.2,Natural,56.859,-119.659,Alberta
2023-07-24,0.2,Natural,56.726,-118.284,Alberta
2023-09-01,0.4,Human,56.537,-116.398,Alberta
